NA_ITEM,GEO,TIME_PERIOD,OBS_VALUE,area
F51,IT,2025-Q2,1856717.0,EU-15 (bez UK)
F51,LU,2025-Q2,31595.9,EU-15 (bez UK)
F51,NL,2025-Q2,710836.0,EU-15 (bez UK)
F51,PT,2025-Q2,182766.8,EU-15 (bez UK)
F51,SE,2025-Q2,679957.7,EU-15 (bez UK)
F52,AT,2025-Q2,104317.0,EU-15 (bez UK)
F52,BE,2025-Q2,306967.6,EU-15 (bez UK)
F52,DE,2025-Q2,1208765.0,EU-15 (bez UK)
F52,DK,2025-Q2,101066.9,EU-15 (bez UK)
F52,EL,2025-Q2,25765.4,EU-15 (bez UK)
F52,ES,2025-Q2,534834.0,EU-15 (bez UK)
F52,FI,2025-Q2,49401.0,EU-15 (bez UK)
F52,FR,2025-Q2,407765.0,EU-15 (bez UK)
F52,IE,2025-Q2,11816.8,EU-15 (bez UK)
F52,IT,2025-Q2,849123.0,EU-15 (bez UK)
F52,LU,2025-Q2,16590.2,EU-15 (bez UK)
F52,NL,2025-Q2,117845.0,EU-15 (bez UK)
F52,PT,2025-Q2,37856.1,EU-15 (bez UK)
F52,SE,2025-Q2,212510.4,EU-15 (bez UK)
