area,quarter,F51_equity_of_AF5_pct,F52_funds_of_AF5_pct,F51_equity_of_F_pct,F52_funds_of_F_pct
CZ,2025Q1,74.2,25.8,35.9,12.5
EU-15 (vč. UK),2025Q1,70.8,29.2,25.9,10.7
EU-15 (bez UK),2025Q1,70.8,29.2,25.9,10.7
