area,quarter,AF2_deposits_pct,AF3_5_cap_market_pct,check_sum_pct
CZ,2025Q2,39.9,51.0,90.9
EU-15 (vč. UK),2025Q2,29.4,39.4,68.8
EU-15 (bez UK),2025Q2,29.4,39.4,68.8
